author,content,description,publishedAt,source.name,title,url,urlToImage
josh alper,the saints signed safety kurt coleman to a threeyear contract as a free agent last offseason but it does not appear he will be around for the end of that deal mike garafolo of nfl media reports that the saints are set to release coleman colemans contract 501 chars,the saints signed safety kurt coleman to a threeyear contract as a free agent last offseason but it does not appear he will be around for the end of that deal mike garafolo of nfl media reports that the saints are set to release coleman colemans contract,2019-02-21 20:33:00,nbcsports,saints expected to release kurt coleman  nbc sports,http://profootballtalk.nbcsports.com/2019/02/21/saints-expected-to-release-kurt-coleman/,https://nbcprofootballtalk.files.wordpress.com/2019/02/gettyimages-1093785094-e1550781220343.jpg
peter_bukowski,ted thompson was always a tight poker player when he bet you knew he had something and hed wait you out anticipating his move when he had pocket queens and could attack to borrow a phrase from marshawn lynch brian gutekunst is much more about that actio 5826 chars,with a closing window with aaron rodgers brian gutekunst aggressively spent last offseason whats the best way to maximize rodgers and this teams talent in 2019,2019-02-21 20:30:00,acmepackinpany,what does going all in look like for the packers this offseason  acme packing company,https://www.acmepackingcompany.com/free-agency-2019-green-bay-packers/2019/2/21/18234968/packers-free-agency-2019-nfl-offseason-trade-rumors-antonio-brown,https://cdn.vox-cdn.com/thumbor/HqsK3fDRjdMzzCgAkqLqd0nAc6I=/0x0:1849x968/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/14146446/1067694922.jpg.jpg
,after four days and 32 hours ontrack action we reach the end of the first formula 1 preseason test of 2019 the amount of mileage that has been covered this week has been mighty impressive but who had the most reasons to smile on day four we delve into t 5088 chars,we crunch the numbers to see which formula 1 team had the best of it  and who struggled  on day four of preseason testing,2019-02-21 20:14:30,formula1,f1 testing performance analysis what the data tells us from day 4 in barcelona  formula 1  formula 1,https://www.formula1.com/en/latest/article.f1-testing-what-the-data-tells-us-from-day-4.1IeP1ibRQoToJ4u2IpnvnZ.html,https://www.formula1.com/content/dam/fom-website/manual/Misc/Performance-Analysis/performance-article-v02.jpg
charles bradley,jeffrey is the 29yearold grandson of the legendary seventime nascar cup series champion dale earnhardt and has amassed more than 150 starts across nascars three national series cup xfinity and trucks hes on a ninerace deal with joe gibbs racing and sta 4925 chars,last weekend at daytona toyota brought the supra model to nascar in the xfinity series opener at daytona although it didnt win it led its first laps in jeffrey earnhardts hands brandon jones finished third and hotshot prospect christopher bell pulled s,2019-02-21 20:09:24,motorsport,an earnhardt led at daytona in a supra how did that happen  motorsportcom edition global,https://www.motorsport.com/nascar-xs/news/earnhardt-daytona-toyota-supra-jeffrey/4341930/,https://cdn-7.motorsport.com/images/amp/0L198yj2/s6/jeffrey-earnhardt-joe-gibbs-ra.jpg
,arsenal cruised past belorussian side bate borisov 30 in europa league action on thursday night to advance to the round of 16 the win at emirates stadium ensured a 31 aggregate victory for the gunners who lost the first leg to the belorussian side last we 1154 chars,get a report of the arsenal vs bate borisov 201819 uefa europa league round of 32 football match,2019-02-21 20:00:46,espn,arsenal vs bate borisov  football match report  february 21 2019  espn,http://www.espn.com/soccer/report?gameId=530664,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0221%2Fr504885_1296x729_16%2D9.jpg
associated press,lawrence kan ap  court documents say a former volunteer volleyball coach at the university of kansas stole dozens of pairs of underwear from players and catalogued them in labeled plastic storage containers the lawrence journalworld reports that the po 624 chars,court documents say a former volunteer volleyball coach at the university of kansas stole dozens of pairs of underwear from players and catalogued them in labeled plastic storage containers,2019-02-21 20:00:00,kake,wichita kansas news weather sports  affidavit former kansas volleyball coach catalogued stolen unde  kake,http://www.kake.com/story/40004797/affidavit-former-kansas-volleyball-coach-catalogued-stolen-underwear,https://KAKE.images.worldnow.com/images/18140082_G.jpg?lastEditedDate=20190221145930
daniel murphy,uefa have released a statement defending the use of var in man citys 32 champions league win over schalke on wednesday and say that var protocol correctly applied for two penalty decisions the controversy arose during a 10minute period in the first half 3077 chars,schalke were awarded two penalties in dubious circumstances against manchester city in the champions league,2019-02-21 19:43:00,manchestereveningnewscouk,uefa release statement over var decisions in man citys champions league clash against schalke  manchester evening news,https://www.manchestereveningnews.co.uk/sport/football/football-news/man-city-var-schalke-champions-15868726,https://i2-prod.manchestereveningnews.co.uk/incoming/article15868722.ece/ALTERNATES/s1200/0_GettyImages-1126280233.jpg
mike griffith,athens georgia sophomore star nicolas claxton might still be in shock after seeing his team fight back from 17 points down only to lose on a freethrow with 05 seconds left on wednesday night the calls in the final minutes of the game that went against uga  2253 chars,athens  georgia sophomore star nicolas claxton might still be in shock after seeing his team fight back from 17 points down only to lose on a freethrow with 05,2019-02-21 19:32:28,dawgnation,georgia basketball extremely strange ending makes national headlines  dawgnation,https://www.dawgnation.com/football/team-news/georgia-bkc-claxton-howland-crean-sec,"https://res.cloudinary.com/dawgnation/image/upload/c_crop,g_north_west,h_3235,w_6136,x_0,y_261/f_auto,q_auto/h_624,w_1184/v1550777165/IMG_8042_a45w83.jpg"
shaun alshatti,former ufc heavyweight champion cain velasquez led the disclosed payroll for ufc phoenix cashing a sixfigure sum for his unsuccessful return against francis ngannou the arizona department of gaming released the events finalized salary information on thursd 2014 chars,former ufc heavyweight champion cain velasquez led the disclosed payroll for ufc phoenix cashing a sixfigure sum for his unsuccessful return against francis ngannou,2019-02-21 19:15:35,mmafighting,ufc phoenix salaries cain velasquez earns 450000 in unsuccessful ufc return  mma fighting,https://www.mmafighting.com/2019/2/21/18235025/ufc-phoenix-salaries-cain-velasquez-earns-450000-in-unsuccessful-ufc-return,https://cdn.vox-cdn.com/thumbor/qAAIl8OLN3HJAJUZxe-XrrSPsQk=/0x73:1920x1078/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13860470/300_Cain_Velasquez.jpg
mike florio,with all the recent talk about the brandnew aaf and the comingbacknextyear xfl an alternative football league that has been around for more than 30 years and that helped develop a hall of fame quarterback would like you to know it still exists its the  1279 chars,with all the recent talk about the brandnew aaf and the comingbacknextyear xfl an alternative football league that has been around for more than 30 years and that helped develop a hall of fame quarterback would like you to know it still exists its the ,2019-02-21 19:08:00,nbcsports,the afl wants you to know it still exists  nbc sports,http://profootballtalk.nbcsports.com/2019/02/21/the-afl-wants-you-to-know-it-still-exists/,https://nbcprofootballtalk.files.wordpress.com/2012/06/image-12.jpg
