author,content,description,publishedAt,source.id,source.name,title,url,urlToImage
Eric Stephen,"This has been a nightmare season for the Georgia Bulldogs, with just one conference win in Tom Creans first year at the school. They found a creatively excruciating way to add to the misery on Wednesday, losing in the last second to Mississippi State in the m… [+1328 chars]","Georgia fell to 1-12 in the SEC with a crushing loss, on a last-second technical foul after a fan threw a stuffed animal on to the court. The ensuing free throw gave Georgia a one-point loss to Mississippi State.",2019-02-21T02:13:31Z,,Sbnation.com,Georgia lost a game because a fan threw a stuffed animal on the court - SB Nation,https://www.sbnation.com/college-basketball/2019/2/20/18234132/georgia-mississippi-state-technical-foul-fan-stuffed-animal-wtf,https://cdn.vox-cdn.com/thumbor/LNQw83OhXNvi3XCVoB08aSqeAQU=/0x0:1678x879/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/14075789/Screen_Shot_2019_02_20_at_5.49.33_PM.png
Joel Sherman,"TAMPA One day you are Gary Sanchez and Aaron Judge. You are Miguel Andujar and Gleyber Torres. You are today and tomorrow and, snap, somehow it happens so quick that you are trying not to be yesterday. Greg Bird came late in the 2015 season and with one preco… [+4262 chars]","TAMPA — One day you are Gary Sanchez and Aaron Judge. You are Miguel Andujar and Gleyber Torres. You are today and tomorrow and, snap, somehow it happens so quick that you are trying not to be yest…",2019-02-21T01:42:00Z,,Nypost.com,"Bird, Voit have something to prove in Yankees' first-base battle - New York Post ",https://nypost.com/2019/02/20/bird-voit-have-something-to-prove-in-yankees-first-base-battle/,https://thenypost.files.wordpress.com/2019/02/bird.voit_-1.jpg?quality=90&strip=all&w=1200
Michael Russo,"NEW YORK Charlie Coyle’s days with the Wild are over and now he’s heading home. Minnesota on Wednesday agreed to trade the Massachusetts-born winger to the Boston Bruins, sources said, in a deal believed to be for Ryan Donato and a fifth-round pick. Sources s… [+661 chars]","Minnesota on Wednesday agreed to trade the Massachusetts-born winger to the Boston Bruins, sources say.",2019-02-21T01:28:09Z,,Theathletic.com,"Sources: Wild trading Charlie Coyle home to Bruins, likely... - The Athletic",https://theathletic.com/829398/2019/02/20/charlie-coyle-wild-trade-bruins-ryan-donato-paul-fenton/,https://cdn.theathletic.com/app/uploads/2019/02/20171827/fullsizeoutput_28da-1024x683.jpeg
nicole-yang,"Celtics point guard Kyrie Irving is not a fan of the reaction to a video of him and Golden State Warriors forward Kevin Durant chatting in a hallway of the Spectrum Center during All-Star Weekend. Its a video of me and one of my best friends talking, Irving t… [+2384 chars]","""If this was the real world, would it be anybody else's business?""",2019-02-21T01:13:54Z,,Boston.com,Kyrie Irving sounds off about the reaction to his conversation with Kevin Durant over All-Star Weekend - Boston.com,https://www.boston.com/sports/boston-celtics/2019/02/20/kyrie-irving-kevin-durant-free-agency,https://www.boston.com/wp-content/uploads/2019/02/download-8-7-850x478.jpeg
Jeff Todd,If the White Sox are indeed “out” on Bryce Harper they are making a huge mistake. Why did they waste their time sending a delegation to woo him at his Las Vegas residence earlier this offseason? At the more recent SoxFest in late January I never once heard Ri… [+3172 chars],"If you've been away from the internet for the last 24 hours, you'll want to catch up on the major &hellip;",2019-02-21T01:00:00Z,,Mlbtraderumors.com,"Bryce Harper Rumors: White Sox ""Out,"" Giants Still In - MLB Trade Rumors",https://www.mlbtraderumors.com/2019/02/bryce-harper-rumors-white-sox-out-giants-still-in.html,https://cdn.mlbtraderumors.com/files/2019/01/USATSI_11029047-1024x810.jpg
RACER Staff,"The future of Formula 1 in Austin, Texas appears to have taken a serious hit when it was revealed Circuit of The Americas lost its state funding. According to a Wednesday story in The Austin American-Statesman newspaper, Gov. Greg Abbott’s office rejected COT… [+2679 chars]","The future of Formula 1 in Austin, Texas appears to have taken a serious hit when it was revealed Circuit of The Americas lost its state funding. According to a Wednesday story in The Austin Americ…",2019-02-21T00:36:08Z,,Racer.com,COTA denied $20 million in state funding for 2018 F1 race - Racer,https://racer.com/2019/02/20/cota-denied-20-million-in-state-funding-for-2018-f1-race/,https://racerdigital.files.wordpress.com/2019/02/ham.jpg?w=1000&h=576&crop=1
Stefan Bondy,"More so than any other franchise, the Knicks have been discussed and dissected as a free agent destination for the better part of a decade. No transcendent star has signed (at least not yet), but that hasnt ceased the year-round speculation and coverage of Ne… [+5673 chars]",CJ McCollum and Damian Lillard chime in on the great Knicks debate.,2019-02-21T00:25:00Z,,Nydailynews.com,Never-ending Knicks free agency debate rages on: 'Why aren’t they going there?' - New York Daily News,https://www.nydailynews.com/sports/basketball/knicks/ny-sports-knicks-freeagency-lillard-mccollum-20190220-story.html,https://www.nydailynews.com/resizer/rrBnOEpH0f0ZfJlTXfX4ur2PP3s=/1200x0/www.trbimg.com/img-5c6df120/turbine/ny-sports-knicks-freeagency-lillard-mccollum-20190220
David Malsher,,Arrow Schmidt Peterson Motorsports-Honda driver Marcus Ericsson makes his IndyCar race debut at St. Petersburg in under three weeks. He talked to David Malsher about his preparations and the prime differences in driving demands between IndyCar and Formula 1.,2019-02-21T00:09:25Z,,Motorsport.com,"Ericsson confident for 2019, compares IndyCar with F1 - Motorsport.com",https://www.motorsport.com/indycar/news/ericsson-indycar-comparison-formula-one/4341469/,https://cdn-2.motorsport.com/images/amp/YMdRgnK2/s6/marcus-ericsson-arrow-schmidt-.jpg
Maddie Lee,"The Thunder has officially signed free agent Markieff Morris, the team announced Wednesday. The power forward was waived by the Pelicans after being traded to New Orleans by Washington on Feb. 7. The move allowed Morris to sign with a playoff contender. Morri… [+752 chars]","The Thunder has officially signed free agent Markieff Morris, the team announced Wednesday.",2019-02-21T00:08:00Z,,Newsok.com,Thunder officially signs Markieff Morris - NewsOK.com,https://newsok.com/article/5623551/thunder-signs-markieff-morris,https://cdn2.newsok.biz/cache/r960_blur-2cfa6c6f15689740fe8fa6ac59ad543c.jpg
Fletcher Keel,"By: Fletcher Keel | WCTV Eyewitness Sports February 20, 2019 JACKSONVILLE, Fla. (WCTV) -- Florida State baseball's midweek game against Jacksonville University has been postponed. FSU and JU were scheduled to play on Tuesday, but weather in the Jacksonville a… [+241 chars]",Florida State baseball's midweek game against Jacksonville University has been postponed.,2019-02-21T00:05:41Z,,Wctv.tv,Florida State game at Jacksonville postponed - WCTV,https://www.wctv.tv/content/news/Florida-State-game-at-Jacksonville-postponed-506127151.html,https://media.graytvinc.com/images/FSU+Maine+2019+baseball.jpg
